twi_query,cleaned_query,intent,twi_response,english_translation,source
Ɛwɔ sɛ mekɔ hohoro me nsa bere bɛn?,ɛwɔ sɛ mekɔ hohoro me nsa bere bɛn,prevention_query,"Hohoro wo nsa ne samina ne nsuo pa bere biara, nua wo nsuo ansa na woanom, na kata wo nnuane so yie.","Wash your hands with soap and safe water, boil your drinking water, and always cover your food.",WHO Ghana
"Cholera mu den paa na obi rentumi nsom adeɛ, ɛwɔ sɛ yɛkɔ ayaresabea ampa?",cholera mu den paa na obi rentumi nsom adeɛ ɛwɔ sɛ yɛkɔ ayaresabea ampa,emergency_query,"EYI NE EMERGENCY! Ma no ORS nsuo sɛ obetumi anom, na fa no kɔ ayaresabea ntɛm ara na wɔakɔma no nsuo wɔ ne ntin (IV fluids).","THIS IS AN EMERGENCY! Give ORS if conscious, and take them to the hospital immediately for IV fluids.",WHO Ghana
"Se me ko adidi baabi a, den na metumi aye na cholera annya me paa?",se me ko adidi baabi a den na metumi aye na cholera annya me paa,prevention_query,"Na yɛbɛyɛ ne sɛ: Hohoro wo nsa ne samina bere biara, di aduane a ɛyɛ hyere na nua wo nsuo ansa na woanom.","To avoid cholera: wash your hands with soap, eat hot cooked food, and boil your water before drinking.",CDC
"Me nana no rentumi nnyina na ne nan mu apow, den meye wo nim?",me nana no rentumi nnyina na ne nan mu apow den meye wo nim,emergency_query,Ma no ORS nsuo na kɔ ayaresabea a ɛbɛn wo ntɛm ara! Eyi yɛ emergency paa!,Give him ORS and run to the nearest hospital immediately! This is a major emergency!,WHO Ghana
Clinic de ORS ama kwa anaa yeto ampa?,clinic de ors ama kwa anaa yeto ampa,treatment_query,"Yɛde ORS (Oral Rehydration Salts) nsuo na ɛsa cholera ntɛm ara na nsuo ansɛe wo ho. Sɛ emu yɛ den a, kɔ ayaresabea ntɛm.","Cholera is treated immediately with ORS (Oral Rehydration Salts) to restore fluids. If severe, go to the hospital immediately.",WHO Ghana
"Oyafunufoo a owo cholera, den na ese se woye ma no anaa ɛnyɛ saa?",oyafunufoo a owo cholera den na ese se woye ma no anaa ɛnyɛ saa,pregnancy_query,"Fa ɔyafunufoɔ no kɔ ayaresabea ntɛm sɛ ɔwɔ cholera nsɛnkyerɛnee, efisɛ ne ho nsuo a ɛsa no tumi ka ɔne abɔfra a ɔda ne yam mu no nyinaa; ORS ne ayaresa ntɛm boa.","A pregnant woman showing cholera symptoms should be taken to a health facility immediately, since dehydration can affect both her and the unborn baby; prompt ORS and medical care are important.",WHO Ghana
Ɛsɛ sɛ abusuafoɔ hyɛ da tneten sɛ wɔresie obi a ɔwu firi cholera mu anaa?,ɛsɛ sɛ abusuafoɔ hyɛ da tneten sɛ wɔresie obi a ɔwu firi cholera mu anaa,burial_safety_query,"Dabi, ɛnsɛ sɛ wɔtwɛn nna pii. Sie a wɔyɛ no ntɛm na wɔdi mmara a ayaresabea akyerɛ wɔn so no boa ma cholera antare bio.","No, burials should not be delayed. A prompt, properly supervised burial following health worker guidance helps prevent further spread of cholera.",Ghana Health Service
"Sɛ me ba no afɛre na ɔkɔ agya nsuo pii a, ɛyɛ cholera anaa?",sɛ me ba no afɛre na ɔkɔ agya nsuo pii a ɛyɛ cholera anaa,symptoms_query,Ayamtuo ne afeɛ kɛseɛ a ɛnto mpa na ɛkyerɛ sɛ obi betumi anya cholera yareɛ no. Wo ho nsuo bɛtumi asa ntɛm ara.,"Severe watery diarrhea and uncontrollable vomiting are signs of cholera, which can cause rapid dehydration.",CDC Ghana
"Oykena, chatbot pa!",oykena chatbot pa,general_greeting,Mema wo akye! Me ne Cholera Twi Chatbot. Metumi abua wo cholera ho nsɛm.,Hello! I am the Cholera Twi Chatbot. I can answer your questions about cholera.,Ghana NLP
ORS nsuo yɛ sɛn?,ors nsuo yɛ sɛn,treatment_query,ORS yɛ aduru nsuo a wɔaka nkyene ne asikre afra mu a ɛboa ma nipadua no nsuo a ayera no san ba.,ORS is a solution of balanced salts and glucose that helps restore lost bodily fluids and electrolytes.,Ghana Ministry of Health
Den na eboa na cholera antra adagya mu ente saa?,den na eboa na cholera antra adagya mu ente saa,prevention_query,"Na yɛbɛyɛ ne sɛ: Hohoro wo nsa ne samina bere biara, di aduane a ɛyɛ hyere na nua wo nsuo ansa na woanom.","To avoid cholera: wash your hands with soap, eat hot cooked food, and boil your water before drinking.",CDC
Mfifisee betumi de cholera aifri beae a efi guom?,mfifisee betumi de cholera aifri beae a efi guom,transmission_query,"Aane, mfifiseɛ bɔ efi ne atwene ho na wɔde mmoawa no gu yɛn nnuane so. Eyi nti yɛnkata nnuane so yie bere biara.","Can flies bring cholera from places where waste is dumped? Yes, flies visit waste and drains and then deposit the bacteria onto our food. Therefore, let us cover food well at all times.",WHO Ghana
"Se obi anya cholera a, eho betumi aye yaw ampa?",se obi anya cholera a eho betumi aye yaw ampa,symptoms_query,Ayamtuo ne afeɛ kɛseɛ a ɛnto mpa na ɛkyerɛ sɛ obi betumi anya cholera yareɛ no. Wo ho nsuo bɛtumi asa ntɛm ara.,"Severe watery diarrhea and uncontrollable vomiting are signs of cholera, which can cause rapid dehydration.",CDC Ghana
"Sɛ yarefoɔ no anya mmetegwee na obi ntumi mfa no ankɔ clinic a, dɛn mɛyɛ?",sɛ yarefoɔ no anya mmetegwee na obi ntumi mfa no ankɔ clinic a dɛn mɛyɛ,emergency_query,"EYI NE EMERGENCY! Ma no ORS nsuo sɛ obetumi anom, na fa no kɔ ayaresabea ntɛm ara na wɔakɔma no nsuo wɔ ne ntin (IV fluids).","THIS IS AN EMERGENCY! Give ORS if conscious, and take them to the hospital immediately for IV fluids.",CDC
"Sɛ ɛna bi wɔ cholera a, ɛsɛ sɛ ɔgyae ne ba nufoɔ nom anaa wo nim?",sɛ ɛna bi wɔ cholera a ɛsɛ sɛ ɔgyae ne ba nufoɔ nom anaa wo nim,breastfeeding_infant_query,"Dabi, ɛnsɛ sɛ ɔgyae. Ɛsɛ sɛ ɔkɔ so ma ne ba nufoɔ nom, efisɛ nufoɔ boa akwadaa no ma ɔnnya nsuo ne mmoawa a ɛko tia yare. Hwɛ sɛ ɔhohoro ne nsa ansa na ɔde ba no bɛtua nufoɔ.","No, breastfeeding should continue. Breast milk helps protect the infant with hydration and antibodies. The mother should wash her hands before nursing.",WHO Ghana
"Se sukuu bi nni toilet pa a, den na ebetumi asi ampa?",se sukuu bi nni toilet pa a den na ebetumi asi ampa,school_query,"Sukuu a wɔn toilet nyɛ pa no ma sukuufoɔ tumi de wɔn ho bɔ afoforo mu cholera, efisɛ efi tumi trɛw ntɛm wɔ mmeaɛ a nnipa pii wɔ hɔ.","Schools with poor toilet facilities put students at risk of spreading cholera to one another, since contamination can spread fast in crowded settings.",Ghana Health Service
Ɛhefa na cholera mmaowa pɛ sɛ wɔtena?,ɛhefa na cholera mmaowa pɛ sɛ wɔtena,transmission_query,Cholera tare ntɛm ara nam nsuo anaa aduane a cholera bacteria firi obi bin mu akɔwura mu.,Cholera spreads rapidly through drinking water or eating food contaminated with the cholera bacteria from feces.,WHO Ghana
Sen na mpotam baako nnipa nyiana betumi abom asiw cholera kwan?,sen na mpotam baako nnipa nyiana betumi abom asiw cholera kwan,community_prevention_query,"Mpɔtam foɔ betumi abom asiesie nsuo a wɔde ma obiara nom, ayɛ toilet a ɛyɛ pa, na wɔatu mpaebɔ afa efi a wɔntow gu baabiara ho.","A community can work together to set up shared clean water points, maintain proper sanitation facilities, and organize clean-up efforts against improper waste disposal.",Ghana Health Service
"Fie ORS nsuo no, yɛde nkyene dodo bɛn na ɛfra mu anaa ɛnyɛ saa?",fie ors nsuo no yɛde nkyene dodo bɛn na ɛfra mu anaa ɛnyɛ saa,treatment_query,Fa nkyene nsa-mmerɛ fa (1/2 teaspoon) ne asikre nsia (6 teaspoons) fra nsuo pa lita baako mu.,"The home-made ORS water, how much salt do we mix in? Use 1/2 teaspoon of salt and 6 teaspoons of sugar mixed into 1 liter of clean water.",CDC Ghana
Obi bin mu efi betmui ama asubɔnten anya cholera mmoawa?,obi bin mu efi betmui ama asubɔnten anya cholera mmoawa,transmission_query,Cholera tare ntɛm ara nam nsuo anaa aduane a cholera bacteria firi obi bin mu akɔwura mu.,Cholera spreads rapidly through drinking water or eating food contaminated with the cholera bacteria from feces.,WHO Ghana
Dɛn na metumi ayɛ na cholera annya me wɔ adidi baabi ampa?,dɛn na metumi ayɛ na cholera annya me wɔ adidi baabi ampa,prevention_query,"Hohoro wo nsa ne samina ne nsuo pa bere biara, nua wo nsuo ansa na woanom, na kata wo nnuane so yie.","Wash your hands with soap and safe water, boil your drinking water, and always cover your food.",WHO Ghana
yAamtuo ne afeɛ kyerɛ sɛ mewɔ cholera?,yaamtuo ne afeɛ kyerɛ sɛ mewɔ cholera,symptoms_query,"Aane, ayamtuo kɛseɛ a ɛte sɛ nsubɛn nsuo ne afeɛ a ɛnto mpa yɛ cholera nsenkyerɛne titiriw.","Yes, severe diarrhea that looks like rice-water and frequent vomiting are primary symptoms of cholera.",Ghana Ministry of Health
Aduane bɛn na eye ma obi a ɔfiri cholrea mu reyɛ akwakwa anaa ɛnyɛ saa?,aduane bɛn na eye ma obi a ɔfiri cholrea mu reyɛ akwakwa anaa ɛnyɛ saa,recovery_query,"Di aduane a ɛyɛ mmerɛw te sɛ ɛmo, apotoyewa, ne nsuo pii de boa nipadua no ma ɔnsan nnya n'ahoɔden. Twe wo ho firi aduane a ɛyɛ den anaa nea ɛyɛ srade dodoɔ ho kakra.","Eat light foods like rice porridge, bananas, and drink plenty of fluids to help the body regain strength. Avoid heavy or very fatty foods for a while.",Ghana Ministry of Health
"Aduane a yɛankata so, cholera mmaowa betumi awura mu?",aduane a yɛankata so cholera mmaowa betumi awura mu,transmission_query,"Aane paa, mfifiseɛ betumi de fĩ afiri abɔnten abɛgu aduane a yɛankata so no so na ama yɛanya cholera yareɛ no.","Food that is not covered, can cholera bacteria enter it? Yes indeed, flies can bring waste from outside and deposit it onto uncovered food, causing us to get the cholera disease.",CDC Ghana
"Chatbot, medaase ma wo adwuma paa?",chatbot medaase ma wo adwuma paa,general_greeting,Akwaaba! Metumi aboa wo wɔ cholera yareɛ ho nsɛm biara. Bisa biribi!,Welcome! I can help you with any questions about cholera. Ask anything!,Ghana NLP
"Ayamtuo no mu yɛ den na ɛfeɛ no nto mpa, dɛn aduru na metumi anyan wɔ fie anaa?",ayamtuo no mu yɛ den na ɛfeɛ no nto mpa dɛn aduru na metumi anyan wɔ fie anaa,treatment_query,"Nyan ORS nsuo (lita baako nsuo, asikre nsia, nkyene fa) ma no nom ntɛm ara na monfa no nkɔ ayaresabea mprepren ara.","The diarrhea is severe and vomiting won't stop, what medicine can I mix at home? Mix ORS water (1 liter water, 6 teaspoons sugar, 1/2 teaspoon salt) for them to drink immediately and take them to the hospital right away.",WHO Ghana
"Se me de asubonten nsuo ye ORS a, eye sfae?",se me de asubonten nsuo ye ors a eye sfae,treatment_query,"Yɛde ORS (Oral Rehydration Salts) nsuo na ɛsa cholera ntɛm ara na nsuo ansɛe wo ho. Sɛ emu yɛ den a, kɔ ayaresabea ntɛm.","Cholera is treated immediately with ORS (Oral Rehydration Salts) to restore fluids. If severe, go to the hospital immediately.",WHO Ghana
Se dehydration mu ye den paa a IV fluids na ehia paa?,se dehydration mu ye den paa a iv fluids na ehia paa,emergency_query,"EYI NE EMERGENCY! Ma no ORS nsuo sɛ obetumi anom, na fa no kɔ ayaresabea ntɛm ara na wɔakɔma no nsuo wɔ ne ntin (IV fluids).","THIS IS AN EMERGENCY! Give ORS if conscious, and take them to the hospital immediately for IV fluids.",WHO Ghana
IV fluids hia bere ben wo cholera mu?,iv fluids hia bere ben wo cholera mu,emergency_query,"EYI NE EMERGENCY! Ma no ORS nsuo sɛ obetumi anom, na fa no kɔ ayaresabea ntɛm ara na wɔakɔma no nsuo wɔ ne ntin (IV fluids).","THIS IS AN EMERGENCY! Give ORS if conscious, and take them to the hospital immediately for IV fluids.",WHO Ghana
"Mema wo aha o, chatbto!",mema wo aha o chatbto,general_greeting,Mema wo aha paa! Akwaaba bio. Metumi abua wo cholera ho nsɛmmisa biara nnɛ.,"Good afternoon to you, chatbot! Good afternoon indeed! Welcome again. I can answer any cholera questions today.",Ghana NLP
Sɛn na mɛhu akwdaaa kɛse anaa aberanteɛ ho nsuo asa dodow?,sɛn na mɛhu akwdaaa kɛse anaa aberanteɛ ho nsuo asa dodow,rehydration_monitoring_query,"Hwɛ sɛ n'ani atwa mu, ne ho awo yɛ den, na ɔte mmerɛw kɛse; sɛ eyinom da adi a, fa no kɔ ayaresabea ntɛm.","Watch for sunken eyes, extreme dry skin, and severe weakness; if these appear, seek medical care immediately.",CDC
Cholera ko obi ho nam nsuo a efi guom anaa?,cholera ko obi ho nam nsuo a efi guom anaa,transmission_query,Cholera tare ntɛm ara nam nsuo anaa aduane a cholera bacteria firi obi bin mu akɔwura mu.,Cholera spreads rapidly through drinking water or eating food contaminated with the cholera bacteria from feces.,WHO Ghana
"Cholera mu ye den na me ba no rentumi nkasa, den ne emergency action ampa?",cholera mu ye den na me ba no rentumi nkasa den ne emergency action ampa,emergency_query,"EYI NE EMERGENCY! Ma no ORS nsuo sɛ obetumi anom, na fa no kɔ ayaresabea ntɛm ara na wɔakɔma no nsuo wɔ ne ntin (IV fluids).","THIS IS AN EMERGENCY! Give ORS if conscious, and take them to the hospital immediately for IV fluids.",CDC
"dAuane a obi de nsa kɔmaa me a obi no wɔ cholera, ɛyɛ asiane?",dauane a obi de nsa kɔmaa me a obi no wɔ cholera ɛyɛ asiane,transmission_query,Cholera tare ntɛm ara nam nsuo anaa aduane a cholera bacteria firi obi bin mu akɔwura mu.,Cholera spreads rapidly through drinking water or eating food contaminated with the cholera bacteria from feces.,WHO Ghana
Cholera bteumi afiri ɔman bi akɔ ɔman foforɔ ampa?,cholera bteumi afiri ɔman bi akɔ ɔman foforɔ ampa,transmission_query,"Cholera mmoawa no firi aduane anaa nsuo a efi guom na afra, paa ayaresabea bin anaa efi a mfifiseɛ akɔdi so.",The cholera bacteria comes from food or water contaminated with human sewage or waste carried by flies.,CDC
Mede fie nsuo anaa sachet water ye ORS paa?,mede fie nsuo anaa sachet water ye ors paa,treatment_query,"Fa lita baako nsuo pa, asikre nsa-mmerɛ nsia (6 teaspoons), ne nkyene nsa-mmerɛ fa (1/2 teaspoon) na fra bom yie ma ɔnom.","Mix 1 liter of clean water, 6 teaspoons of sugar, and 1/2 teaspoon of salt to make Home-made Rehydration Solution.",CDC
Sɛ meba no anya cholera a metumi ma no nufosuo?,sɛ meba no anya cholera a metumi ma no nufosuo,treatment_query,"Aane, sɛ abofra no renum nufosuo a, kɔ so ma no nufosuo no pii ɛfra ORS nsuo no ho na wanya ahoɔden.","If my child gets cholera can I give them breast milk? Yes, if the baby is breastfeeding, keep giving them plenty of breast milk in addition to the ORS water so they gain strength.",WHO Ghana
Bere a IV fluids hia wo hcolera mu ne bere a obi rente asem yie,bere a iv fluids hia wo hcolera mu ne bere a obi rente asem yie,emergency_query,"EYI NE EMERGENCY! Ma no ORS nsuo sɛ obetumi anom, na fa no kɔ ayaresabea ntɛm ara na wɔakɔma no nsuo wɔ ne ntin (IV fluids).","THIS IS AN EMERGENCY! Give ORS if conscious, and take them to the hospital immediately for IV fluids.",WHO Ghana
Mema wo adwo chatbot nua anaa?,mema wo adwo chatbot nua anaa,general_greeting,Akwaaba! Metumi aboa wo wɔ cholera yareɛ ho nsɛm biara. Bisa biribi!,Welcome! I can help you with any questions about cholera. Ask anything!,Ghana NLP
"Sɛ cohlera mu yɛ den paa a, yɛbɛtumi de obi kɔ ayaresabea de ama no nsuo wɔ ne ntin?",sɛ cohlera mu yɛ den paa a yɛbɛtumi de obi kɔ ayaresabea de ama no nsuo wɔ ne ntin,emergency_query,"EYI NE EMERGENCY! Ma no ORS nsuo sɛ obetumi anom, na fa no kɔ ayaresabea ntɛm ara na wɔakɔma no nsuo wɔ ne ntin (IV fluids).","THIS IS AN EMERGENCY! Give ORS if conscious, and take them to the hospital immediately for IV fluids.",WHO Ghana
Obi a owo cholera no ho da sen wo nim?,obi a owo cholera no ho da sen wo nim,symptoms_query,Cholera yareɛ no ho nsenkyerɛne titiriw ne ayamtuo kɛseɛ a ɛte sɛ nsuo (a ɛte sɛ nsubɛn) ne ɛfeɛ a ɛnto mpa. Eyi betumi ama wo ho nsuo asa ntɛm (dehydration).,The main symptoms of cholera are severe watery diarrhea (like rice-water) and frequent vomiting. This can cause rapid dehydration.,WHO Ghana Health Service
Yede aduru ben de siw ayamtuo wo cholera mu?,yede aduru ben de siw ayamtuo wo cholera mu,treatment_query,"Yɛde ORS (Oral Rehydration Salts) nsuo na ɛsa cholera ntɛm ara na nsuo ansɛe wo ho. Sɛ emu yɛ den a, kɔ ayaresabea ntɛm.","Cholera is treated immediately with ORS (Oral Rehydration Salts) to restore fluids. If severe, go to the hospital immediately.",WHO Ghana
Cholera nnyasnoo ye den?,cholera nnyasnoo ye den,transmission_query,"Bacteria a yɛfrɛ no 'Vibrio cholerae' na ɛde yareɛ no ba, titiriw fa nsuo anaa nnuane a efi wom.","What is the cause of cholera? The bacterium called Vibrio cholerae causes the disease, mostly through contaminated water or food.",WHO Ghana
Cholera bacteria betumi atena aduane mu nnɔnhwerew dodo bɛn?,cholera bacteria betumi atena aduane mu nnɔnhwerew dodo bɛn,transmission_query,"Cholera mmoawa no firi aduane anaa nsuo a efi guom na afra, paa ayaresabea bin anaa efi a mfifiseɛ akɔdi so.",The cholera bacteria comes from food or water contaminated with human sewage or waste carried by flies.,CDC
Mo adwuma yi boa Ghanafoo paa,mo adwuma yi boa ghanafoo paa,general_greeting,Meda wo ase! Ɛyɛ yɛn anigye sɛ yɛde Twi kasa bɛboa Ghanafoɔ nyinaa ma wɔanya apɔwmuden afiri cholera ho.,Your work helps Ghanaians a lot. Thank you! It is our joy to use the Twi language to help all Ghanaians gain good health away from cholera.,Ghana NLP
"Chloera mu den paa na obi rentumi nsom adeɛ, ɛwɔ sɛ yɛkɔ ayaresabea ampa?",chloera mu den paa na obi rentumi nsom adeɛ ɛwɔ sɛ yɛkɔ ayaresabea ampa,emergency_query,"EYI NE EMERGENCY! Ma no ORS nsuo sɛ obetumi anom, na fa no kɔ ayaresabea ntɛm ara na wɔakɔma no nsuo wɔ ne ntin (IV fluids).","THIS IS AN EMERGENCY! Give ORS if conscious, and take them to the hospital immediately for IV fluids.",WHO Ghana
Sɛ me ho nni samina a metumi de nsuo kwa ahohoro me nsa?,sɛ me ho nni samina a metumi de nsuo kwa ahohoro me nsa,prevention_query,Nsuo kwa ntaa nkum cholera mmoawa no yie. Fa samina anaa nsofa (ash) fra mu ahoro wo nsa na woanya banbɔ pa.,If I don't have soap can I use water alone to wash my hands? Water alone usually doesn't kill the cholera bacteria effectively. Use soap or mix with ash to wash your hands for proper protection.,CDC Ghana
Cholera bacteria betumi atena aduane a yɛanoa mu?,cholera bacteria betumi atena aduane a yɛanoa mu,transmission_query,Cholera tare ntɛm ara nam nsuo anaa aduane a cholera bacteria firi obi bin mu akɔwura mu.,Cholera spreads rapidly through drinking water or eating food contaminated with the cholera bacteria from feces.,WHO Ghana
"Nnuane a yeanoa no akye, ewo se yenua bio ente saa?",nnuane a yeanoa no akye ewo se yenua bio ente saa,prevention_query,"Aane paa, ɛwɔ sɛ wo nua aduane biara a akyɛ mu yie ma ɛyɛ hyere paa ansa na woadi na woakum mmoawa biara.","Food that was cooked long ago, do we need to heat it again? Yes indeed, you must heat any leftover food thoroughly so it is very hot before eating to kill any bacteria.",Ghana Ministry of Health
"Mema wo adwo o, chatbot nua paa?",mema wo adwo o chatbot nua paa,general_greeting,Mema wo adwo paa! Akwaaba bio. Metumi abua wo cholera ho nsɛmmisa biara nnɛ.,"Good evening to you, chatbot brother/sister! Good evening indeed! Welcome again. I can answer any cholera questions today.",Ghana NLP
"Me nan ne me nsa mu rekyere me, eye cholera ɛnte saa?",me nan ne me nsa mu rekyere me eye cholera ɛnte saa,symptoms_query,Cholera yareɛ no ho nsenkyerɛne titiriw ne ayamtuo kɛseɛ a ɛte sɛ nsuo (a ɛte sɛ nsubɛn) ne ɛfeɛ a ɛnto mpa. Eyi betumi ama wo ho nsuo asa ntɛm (dehydration).,The main symptoms of cholera are severe watery diarrhea (like rice-water) and frequent vomiting. This can cause rapid dehydration.,WHO Ghana Health Service
Mɛhohoro me nsa bere biara bɔ me ho ban,mɛhohoro me nsa bere biara bɔ me ho ban,prevention_query,"Hohoro wo nsa ne samina ne nsuo pa bere biara, nua wo nsuo ansa na woanom, na kata wo nnuane so yie.","Wash your hands with soap and safe water, boil your drinking water, and always cover your food.",WHO Ghana
Aduru bɛn na adɔkotafoɔ de sa cholera paa?,aduru bɛn na adɔkotafoɔ de sa cholera paa,treatment_query,"Adɔkotafoɔ de ORS, ne nsuo wɔ ntin (IV fluids) ne antibiotic aduru na ɛsa cholera yareɛ no yie.","Doctors use ORS, IV fluids for severe cases, and antibiotics to treat cholera effectively.",WHO
"Yarefoɔ no na'ni apɔn na ɔrente nsɛm yie, dɛn na mɛyɛ?",yarefoɔ no nani apɔn na ɔrente nsɛm yie dɛn na mɛyɛ,emergency_query,"EYI NE EMERGENCY! Ma no ORS nsuo sɛ obetumi anom, na fa no kɔ ayaresabea ntɛm ara na wɔakɔma no nsuo wɔ ne ntin (IV fluids).","THIS IS AN EMERGENCY! Give ORS if conscious, and take them to the hospital immediately for IV fluids.",CDC
"Se ayamtuo ne afee ba wo do koro mu a, eye cholera paa?",se ayamtuo ne afee ba wo do koro mu a eye cholera paa,symptoms_query,Ayamtuo ne afeɛ kɛseɛ a ɛnto mpa na ɛkyerɛ sɛ obi betumi anya cholera yareɛ no. Wo ho nsuo bɛtumi asa ntɛm ara.,"Severe watery diarrhea and uncontrollable vomiting are signs of cholera, which can cause rapid dehydration.",CDC Ghana
Fa cholera ho nsɛm kyerɛ me anaa ɛnyɛ saa?,fa cholera ho nsɛm kyerɛ me anaa ɛnyɛ saa,general_greeting,Akwaaba! Metumi aboa wo wɔ cholera yareɛ ho nsɛm biara. Bisa biribi!,Welcome! I can help you with any questions about cholera. Ask anything!,WHO Ghana
"ORS ne nsuo kwa, yede ben de sa choelra pa ara?",ors ne nsuo kwa yede ben de sa choelra pa ara,treatment_query,"Fa lita baako nsuo pa, asikre nsa-mmerɛ nsia (6 teaspoons), ne nkyene nsa-mmerɛ fa (1/2 teaspoon) na fra bom yie ma ɔnom.","Mix 1 liter of clean water, 6 teaspoons of sugar, and 1/2 teaspoon of salt to make Home-made Rehydration Solution.",CDC
Cliinc de ORS ama kwa anaa yeto?,cliinc de ors ama kwa anaa yeto,treatment_query,"Yɛde ORS (Oral Rehydration Salts) nsuo na ɛsa cholera ntɛm ara na nsuo ansɛe wo ho. Sɛ emu yɛ den a, kɔ ayaresabea ntɛm.","Cholera is treated immediately with ORS (Oral Rehydration Salts) to restore fluids. If severe, go to the hospital immediately.",WHO Ghana
Dɛn nti na yɛkata aduane so afiri mfifiseɛ ho?,dɛn nti na yɛkata aduane so afiri mfifiseɛ ho,prevention_query,Yɛkata aduane so afiri mfifiseɛ ho efisɛ mfifiseɛ de fĩ afiri abɔnten abɛgu aduane so na ɛde cholera mmoawa bɛba.,Why do we cover food away from flies? We cover food away from flies because flies bring waste from outside onto the food and introduce cholera bacteria.,Ghana Ministry of Health
"Akwadaa nkumaa a wanya cholera no, dɛn na wɔmfa mma no?",akwadaa nkumaa a wanya cholera no dɛn na wɔmfa mma no,breastfeeding_infant_query,"Ma akwadaa no ORS ketewaa bere ne bere, kɔ so ma no nufoɔ nom, na fa no kɔ ayaresabea ntɛm sɛnea wɔbɛhwɛ no yiye, efisɛ akwadaa nkumaa ho nsuo tumi sa ntɛm paa.","Give the infant small, frequent amounts of ORS, continue breastfeeding, and take them to a health facility quickly, as infants dehydrate very rapidly.",CDC
"Chatbot, kyerɛkyerɛ me fa cohlera ho",chatbot kyerɛkyerɛ me fa cohlera ho,general_greeting,Akwaaba! Metumi aboa wo wɔ cholera yareɛ ho nsɛm biara. Bisa biribi!,Welcome! I can help you with any questions about cholera. Ask anything!,WHO Ghana
"Sɛ yɛde nsuo firi asubɔnten de noa a, cholera mmoawa wu anaa?",sɛ yɛde nsuo firi asubɔnten de noa a cholera mmoawa wu anaa,transmission_query,"Cholera mmoawa no firi aduane anaa nsuo a efi guom na afra, paa ayaresabea bin anaa efi a mfifiseɛ akɔdi so.",The cholera bacteria comes from food or water contaminated with human sewage or waste carried by flies.,CDC
Me nsa ho bɛtumi afi sɛ mekɔ asuogya ayki?,me nsa ho bɛtumi afi sɛ mekɔ asuogya ayki,prevention_query,"Aane, nsa ho horo ne samina ntɛm ara bere biara a wobɛfi asuogya (toilet) no hia paa na woansa cholera mmoawa ankyere afoforo.","Can my hands get contaminated after using the toilet? Yes, washing hands with soap immediately every time you leave the toilet is very important so you don't spread cholera bacteria to others.",CDC Ghana
"Se adagya mu nsuo ho nni tew a, cholera beba wo nim?",se adagya mu nsuo ho nni tew a cholera beba wo nim,prevention_query,Cholera tare ntɛm ara nam nsuo anaa aduane a cholera bacteria firi obi bin mu akɔwura mu.,Cholera spreads rapidly through drinking water or eating food contaminated with the cholera bacteria from feces.,WHO Ghana
"Sɛ obi nom nsuo a cholera momawa wɔ mu a, bere bɛn mu na ɔbɛyɛ yarefoɔ ampa?",sɛ obi nom nsuo a cholera momawa wɔ mu a bere bɛn mu na ɔbɛyɛ yarefoɔ ampa,transmission_query,"Cholera mmoawa no firi aduane anaa nsuo a efi guom na afra, paa ayaresabea bin anaa efi a mfifiseɛ akɔdi so.",The cholera bacteria comes from food or water contaminated with human sewage or waste carried by flies.,CDC
ORS betumi asa dehydration wɔ cholera mu?,ors betumi asa dehydration wɔ cholera mu,treatment_query,"Yɛde ORS (Oral Rehydration Salts) nsuo na ɛsa cholera ntɛm ara na nsuo ansɛe wo ho. Sɛ emu yɛ den a, kɔ ayaresabea ntɛm.","Cholera is treated immediately with ORS (Oral Rehydration Salts) to restore fluids. If severe, go to the hospital immediately.",WHO Ghana
Mfifisee de cholera ko aduane so nam okwan ben so,mfifisee de cholera ko aduane so nam okwan ben so,transmission_query,Cholera tare ntɛm ara nam nsuo anaa aduane a cholera bacteria firi obi bin mu akɔwura mu.,Cholera spreads rapidly through drinking water or eating food contaminated with the cholera bacteria from feces.,WHO Ghana
Me pɛ sɛ mehu chloera ho nsɛm,me pɛ sɛ mehu chloera ho nsɛm,general_greeting,Akwaaba! Metumi aboa wo wɔ cholera yareɛ ho nsɛm biara. Bisa biribi!,Welcome! I can help you with any questions about cholera. Ask anything!,WHO Ghana
Mede fie aduru ben de sa cholera?,mede fie aduru ben de sa cholera,treatment_query,"Yɛde ORS (Oral Rehydration Salts) nsuo na ɛsa cholera ntɛm ara na nsuo ansɛe wo ho. Sɛ emu yɛ den a, kɔ ayaresabea ntɛm.","Cholera is treated immediately with ORS (Oral Rehydration Salts) to restore fluids. If severe, go to the hospital immediately.",WHO Ghana
"Me kunu anya cholera mu den na orente asem yie, den meye anaa?",me kunu anya cholera mu den na orente asem yie den meye anaa,emergency_query,Ma no ORS nsuo na kɔ ayaresabea a ɛbɛn wo ntɛm ara! Eyi yɛ emergency paa!,Give him ORS and run to the nearest hospital immediately! This is a major emergency!,WHO Ghana
Cholera bacteria tumi atena aduane mu ama yareɛ aba,cholera bacteria tumi atena aduane mu ama yareɛ aba,transmission_query,Cholera tare ntɛm ara nam nsuo anaa aduane a cholera bacteria firi obi bin mu akɔwura mu.,Cholera spreads rapidly through drinking water or eating food contaminated with the cholera bacteria from feces.,WHO Ghana
